Date,CASES
11/27/2020,43082
11/28/2020,41322
11/29/2020,41810
11/30/2020,38772
12-01-2020,31118
02-12-2020,36604
03-12-2020,35551
04-12-2020,36595
05-12-2020,36652
06-12-2020,36011
07-12-2020,32981
08-12-2020,26567
09-12-2020,32080
10-12-2020,31521
